srcYear,srcStateCode,srcStateName,srcDistrictCode,srcDistrictName,srcCalendarDay,Country,YearCode,Year,StateCode,StateName,DayCode,CalendarDay,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
2026,30,GOA,551,NORTH GOA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",30,GOA,20260503,2026-05-03,551,NORTH GOA,652178,389430,262748,331185,198756,132429,320993,190674,130319,153417,92849,60568,36978,107347.58,144325.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,30,GOA,552,SOUTH GOA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",30,GOA,20260503,2026-05-03,552,SOUTH GOA,806367,517384,288983,407955,264948,143007,398412,252436,145976,190194,122554,67640,40876,185002.53,225878.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",31,LAKSHADWEEP,20260503,2026-05-03,553,LAKSHADWEEP DISTRICT,64473,50332,14141,33123,25880,7243,31350,24452,6898,11574,8864,2710,2137,771.28,2908.280029296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,554,ALAPPUZHA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,554,ALAPPUZHA,2127789,1148146,979643,1013142,548429,464713,1114647,599717,514930,535958,287342,248616,55011,81165,136176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,555,ERNAKULAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,555,ERNAKULAM,3282388,2234363,1048025,1619557,1101047,518510,1662831,1133316,529515,814011,554096,259915,92526,190845,283371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,556,IDUKKI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,556,IDUKKI,1108974,52045,1056929,552808,25563,527245,556166,26482,529684,279812,12604,267208,3543,462174,465717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,557,KANNUR,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,557,KANNUR,2523003,1640986,882017,1181446,755764,425682,1341557,885222,456335,554298,352069,202229,100366,196362,296728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,558,KASARAGOD,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,558,KASARAGOD,1307375,509047,798328,628613,240897,387716,678762,268150,410612,273410,104170,169240,29037,167113,196150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,559,KOLLAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,559,KOLLAM,2635375,1187158,1448217,1246968,566281,680687,1388407,620877,767530,669375,292696,376679,41625,206854,248479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,560,KOTTAYAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,560,KOTTAYAM,1974551,565393,1409158,968289,275616,692673,1006262,289777,716485,487296,140397,346899,27371,192172,219543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,561,KOZHIKODE,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,561,KOZHIKODE,3086293,2072572,1013721,1470942,986158,484784,1615351,1086414,528937,697710,462007,235703,94415,139461,233876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,562,MALAPPURAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,562,MALAPPURAM,4112920,1817211,2295709,1960328,865020,1095308,2152592,952191,1200401,793999,345962,448037,89959,262353,352312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,563,PALAKKAD,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,563,PALAKKAD,2809934,676810,2133124,1359478,328012,1031466,1450456,348798,1101658,637220,154935,482285,39969,407611,447580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,564,PATHANAMTHIPTA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,564,PATHANAMTHITTA,1197412,131613,1065799,561716,61896,499820,635696,69717,565979,322684,35069,287615,8121,264950,273071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,565,THIRUVANANTHAPURAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,565,THIRUVANANTHAPURAM,3301427,1771596,1529831,1581678,856814,724864,1719749,914782,804967,837877,446914,390963,57746,160845,218591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,566,THRISSUR,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,566,THRISSUR,3121200,2096406,1024794,1480763,992460,488303,1640437,1103946,536491,759210,508333,250877,116117,185758,301875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,32,KERALA,567,WAYANAD,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",32,KERALA,20260503,2026-05-03,567,WAYANAD,817420,31580,785840,401684,15401,386283,415736,16179,399557,190894,7519,183375,4074,208573,212647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,568,CHENNAI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,568,CHENNAI,6642560,6596336,46224,3343316,3319842,23474,3299244,3276494,22750,1664710,1654288,10422,43564,4515.07,48079.06970214844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,569,COIMBATORE,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,569,COIMBATORE,3470735,2629616,841119,1734958,1314939,420019,1735777,1314677,421100,959899,717082,242817,164587.5,319770.22,484357.724609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,570,CUDDALORE,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,570,CUDDALORE,2605914,885189,1720725,1311697,442836,868861,1294217,442353,851864,635578,212105,423473,45932,333082.34,379014.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
